gene,logP
ENSG00000048052,-2.1
ENSG00000048140,1.4
ENSG00000048162,2
ENSG00000048342,-2.9
ENSG00000048392,-0.4
ENSG00000048405,2.8
ENSG00000048462,0
ENSG00000048471,1.3
ENSG00000048540,3.3
ENSG00000048544,-0.2
ENSG00000048545,-0.9
ENSG00000048649,0
ENSG00000048707,4
ENSG00000048740,5.9
ENSG00000048828,0.6
ENSG00000048991,-1.2
ENSG00000049089,-3.5
ENSG00000049130,-0.1
ENSG00000049167,-0.9
ENSG00000049192,-0.6
ENSG00000049239,2
ENSG00000049245,0.9
ENSG00000049246,-10
ENSG00000049247,-0.3
ENSG00000049249,-0.1
ENSG00000049283,-1.1
ENSG00000049319,0.3
ENSG00000049323,10
ENSG00000049449,-0.2
ENSG00000049540,2
ENSG00000049541,-1.5
ENSG00000049618,-0.5
ENSG00000049656,2.2
ENSG00000049759,-7.6
ENSG00000049768,0.2
ENSG00000049769,-0.6
ENSG00000049860,0
ENSG00000049883,-1
ENSG00000050030,NA
ENSG00000050130,0.1
ENSG00000050165,0.8
ENSG00000050327,0
ENSG00000050344,0
ENSG00000050393,2
ENSG00000050405,-0.5
ENSG00000050426,-0.3
ENSG00000050438,-0.4
ENSG00000050555,0
ENSG00000050628,-1.2
ENSG00000050730,-0.2
ENSG00000050748,-0.1
ENSG00000050767,0.8
ENSG00000050820,0.5
ENSG00000051009,0.1
ENSG00000051108,10
ENSG00000051128,-0.6
ENSG00000051180,1.7
ENSG00000051341,-0.6
ENSG00000051382,1.6
ENSG00000051523,0.8
ENSG00000051596,-0.4
ENSG00000051620,6.2
ENSG00000051825,-3.2
ENSG00000052126,-1.7
ENSG00000052344,-0.1
ENSG00000052723,-0.2
ENSG00000052749,0.1
ENSG00000052795,0.6
ENSG00000052802,-0.3
ENSG00000052841,-0.5
ENSG00000052850,NA
ENSG00000053108,NA
ENSG00000053254,2.4
ENSG00000053328,-0.6
ENSG00000053371,0.4
ENSG00000053372,1.3
ENSG00000053438,-0.2
ENSG00000053501,-0.8
ENSG00000053524,0.3
ENSG00000053702,-0.3
ENSG00000053747,3.1
ENSG00000053770,0
ENSG00000053900,0.1
ENSG00000053918,0
ENSG00000054116,0.5
ENSG00000054118,-2.2
ENSG00000054148,-0.5
ENSG00000054179,-1
ENSG00000054219,0.9
ENSG00000054267,-0.5
ENSG00000054277,2.4
ENSG00000054282,-0.9
ENSG00000054356,-0.5
ENSG00000054392,-0.8
ENSG00000054523,1.3
ENSG00000054598,-0.3
ENSG00000054611,0.1
ENSG00000054654,0.3
ENSG00000054690,-0.4
ENSG00000054793,0.5
ENSG00000054796,-0.1
ENSG00000054803,NA
ENSG00000054938,-2.9
ENSG00000054965,-3
ENSG00000054967,-0.2
ENSG00000054983,2
ENSG00000055044,0.8
ENSG00000055070,1.7
ENSG00000055118,-0.6
ENSG00000055130,1.9
ENSG00000055147,0.2
ENSG00000055163,-4
ENSG00000055208,0.3
ENSG00000055211,1.2
ENSG00000055332,-1.3
ENSG00000055483,0.8
ENSG00000055609,-0.8
ENSG00000055732,-0.6
ENSG00000055813,-1.2
ENSG00000055917,0.8
ENSG00000055950,-0.2
ENSG00000055955,0.1
ENSG00000055957,-0.1
ENSG00000056050,-0.5
ENSG00000056097,0.7
ENSG00000056277,-1.1
ENSG00000056291,-0.1
